collection,group_name,group_description,group_type,group_sort_order,group_active,option_name,option_description,option_image_url,option_sort_order,option_active
DreambooksPRO Acrylic Collection,Formaat,Kies het formaat van je album,single,10,1,25x30cm Verticaal,Verticaal formaat 25x30cm,,10,1
DreambooksPRO Acrylic Collection,Formaat,Kies het formaat van je album,single,10,1,25x38cm Verticaal,Verticaal formaat 25x38cm,,20,1
DreambooksPRO Acrylic Collection,Formaat,Kies het formaat van je album,single,10,1,30x40cm Verticaal,Verticaal formaat 30x40cm,,30,1
DreambooksPRO Acrylic Collection,Formaat,Kies het formaat van je album,single,10,1,35x45cm Verticaal,Verticaal formaat 35x45cm,,40,1
DreambooksPRO Acrylic Collection,Formaat,Kies het formaat van je album,single,10,1,20x20cm Vierkant,Vierkant formaat 20x20cm,,50,1
DreambooksPRO Acrylic Collection,Formaat,Kies het formaat van je album,single,10,1,25x25cm Vierkant,Vierkant formaat 25x25cm,,60,1
DreambooksPRO Acrylic Collection,Formaat,Kies het formaat van je album,single,10,1,30x30cm Vierkant,Vierkant formaat 30x30cm,,70,1
DreambooksPRO Acrylic Collection,Formaat,Kies het formaat van je album,single,10,1,35x35cm Vierkant,Vierkant formaat 35x35cm,,80,1
DreambooksPRO Acrylic Collection,Formaat,Kies het formaat van je album,single,10,1,38x38cm Vierkant,Vierkant formaat 38x38cm,,90,1
DreambooksPRO Acrylic Collection,Formaat,Kies het formaat van je album,single,10,1,30x25cm Horizontaal,Horizontaal formaat 30x25cm,,100,1
DreambooksPRO Acrylic Collection,Formaat,Kies het formaat van je album,single,10,1,38x25cm Horizontaal,Horizontaal formaat 38x25cm,,110,1
DreambooksPRO Acrylic Collection,Formaat,Kies het formaat van je album,single,10,1,40x30cm Horizontaal,Horizontaal formaat 40x30cm,,120,1
DreambooksPRO Acrylic Collection,Formaat,Kies het formaat van je album,single,10,1,45x35cm Horizontaal,Horizontaal formaat 45x35cm,,130,1
DreambooksPRO Acrylic Collection,Cover Model,Kies het cover model,single,20,1,Arábico Metálico,Metallic Arabisch design,,10,1
DreambooksPRO Acrylic Collection,Cover Model,Kies het cover model,single,20,1,Niassa,Niassa cover,,20,1
DreambooksPRO Acrylic Collection,Cover Model,Kies het cover model,single,20,1,Niassa Photo,Niassa met foto,,30,1
DreambooksPRO Acrylic Collection,Coating,Coating voor omslag en rug,single,30,1,Alligator Bruin,Alligator patroon in bruin,,10,1
DreambooksPRO Acrylic Collection,Coating,Coating voor omslag en rug,single,30,1,Alligator Bronze,Alligator patroon in bronze,,20,1
DreambooksPRO Acrylic Collection,Coating,Coating voor omslag en rug,single,30,1,Alligator Rood,Alligator patroon in rood,,30,1
DreambooksPRO Acrylic Collection,Coating,Coating voor omslag en rug,single,30,1,Alligator Zwart,Alligator patroon in zwart,,40,1
DreambooksPRO Acrylic Collection,Coating,Coating voor omslag en rug,single,30,1,Jewel,Juweel afwerking,,50,1
DreambooksPRO Acrylic Collection,Coating,Coating voor omslag en rug,single,30,1,Flower,Bloemen patroon,,60,1
DreambooksPRO Acrylic Collection,Coating,Coating voor omslag en rug,single,30,1,Colours,Kleurrijk design,,70,1
DreambooksPRO Acrylic Collection,Coating,Coating voor omslag en rug,single,30,1,Leather,Leren afwerking,,80,1
DreambooksPRO Acrylic Collection,Coating,Coating voor omslag en rug,single,30,1,Linen,Linnen textuur,,90,1
DreambooksPRO Acrylic Collection,Coating,Coating voor omslag en rug,single,30,1,Micro Leather,Micro leren afwerking,,100,1
DreambooksPRO Acrylic Collection,Coating,Coating voor omslag en rug,single,30,1,Ornaments,Ornament design,,110,1
DreambooksPRO Acrylic Collection,Coating,Coating voor omslag en rug,single,30,1,Prestige,Prestige afwerking,,120,1
DreambooksPRO Acrylic Collection,Coating,Coating voor omslag en rug,single,30,1,Snake,Slangenpatroon,,130,1
DreambooksPRO Acrylic Collection,Coating,Coating voor omslag en rug,single,30,1,Tuscany / Toscana Essenza,Toscaanse stijl,,140,1
DreambooksPRO Acrylic Collection,Coating,Coating voor omslag en rug,single,30,1,Mirror,Spiegel afwerking,,150,1
DreambooksPRO Acrylic Collection,Coating,Coating voor omslag en rug,single,30,1,Sequin,Pailletten,,160,1
DreambooksPRO Acrylic Collection,Personalisatie,Maatwerk en personalisaties,multi,40,1,Acrylic Edge,Afgeronde afwerking voor premium 3D look,,10,1
DreambooksPRO Acrylic Collection,Personalisatie,Maatwerk en personalisaties,multi,40,1,Edge Print,Custom kleuren/afwerkingen voor paginarand,,20,1
DreambooksPRO Acrylic Collection,Personalisatie,Maatwerk en personalisaties,multi,40,1,Laser Engraving,Gegraveerd ontwerp op cover,,30,1
DreambooksPRO Acrylic Collection,Personalisatie,Maatwerk en personalisaties,multi,40,1,UV Printing,Full-color bedrukking met UV-inkt (eco-vriendelijk),,40,1
DreambooksPRO Acrylic Collection,Personalisatie,Maatwerk en personalisaties,multi,40,1,UV Varnish Printing,Plaatselijk vernis voor extra glans/afwerking,,50,1
DreambooksPRO Acrylic Collection,Core Personalisaties,Personalisaties binnenkant,multi,50,1,Matte Protection,Matte vernislaag op pagina's,,10,1
DreambooksPRO Acrylic Collection,Core Personalisaties,Personalisaties binnenkant,multi,50,1,Gloss Lamination,Glanzende vernislaag,,20,1
DreambooksPRO Acrylic Collection,Core Personalisaties,Personalisaties binnenkant,multi,50,1,Gilding,Gouden of zilveren folie op paginaranden,,30,1
DreambooksPRO Acrylic Collection,Core Personalisaties,Personalisaties binnenkant,multi,50,1,Custom Guards,Speciale begin- en eindbladen (diverse materialen/kleuren),,40,1
DreambooksPRO Acrylic Collection,Core Personalisaties,Personalisaties binnenkant,multi,50,1,Tracing Paper Sheet,Transparant gepersonaliseerd blad,,50,1
DreambooksPRO Acrylic Collection,Core Personalisaties,Personalisaties binnenkant,multi,50,1,Album Fragrances,Lavendel- of mustela-geur voor lustre papier,,60,1
DreambooksPRO Acrylic Collection,Papier,Papierkeuze,single,60,1,Pearl Paper Cover - Beeld,Pearl papier met beeldkeuze voor cover,,10,1
DreambooksPRO Acrylic Collection,Papier,Papierkeuze,single,60,1,Pearl Paper Cover - Kleur,Pearl papier met kleurkeuze voor cover,,20,1
DreambooksPRO Acrylic Collection,Papier,Papierkeuze,single,60,1,Hahnemühle FineArt + Certificate,FineArt papier met Certificate of Authenticity,,30,1
Bold Collection 150,Formaat,Album formaat en duplicaten,single,10,1,30x25cm Album + 2x 24x20cm Duplicaat,150 pagina's,,10,1
Bold Collection 150,Papier,Papiertype,single,20,1,Superior Inkjet,High-quality inkjet papier,,10,1
Bold Collection 150,Materiaal,Cover materiaal,single,30,1,Standaard,Standaard materiaal,,10,1
Bold Collection 150,Materiaal,Cover materiaal,single,30,1,Luxury,Luxe materiaal,,20,1
Bold Collection 150,Materiaal,Cover materiaal,single,30,1,Genuine Leather,Echt leer,,30,1
Bold Collection 150,Materiaal,Cover materiaal,single,30,1,Premium Luxury,Premium luxe materiaal,,40,1
Bold Collection 150,Materiaal,Cover materiaal,single,30,1,Suede,Suède afwerking,,50,1
Bold Collection 150,Materiaal,Cover materiaal,single,30,1,Glitter,Glitter afwerking,,60,1
Bold Collection 150,Materiaal,Cover materiaal,single,30,1,Snake,Slangenpatroon,,70,1
Bold Collection 25,Papier,Papiertype en afwerking,single,10,1,Pure White 250g,Standaard pure white papier,,10,1
Bold Collection 25,Papier,Papiertype en afwerking,single,10,1,Pure White 250g + Glossy Lamination,Met glanzende laminaat,,20,1
Bold Collection 25,Papier,Papiertype en afwerking,single,10,1,Pure White 250g + UV Matte Varnish,Met matte UV vernis,,30,1
Bold Collection 25,Materiaal,Cover materiaal,single,20,1,Standaard,Standaard materiaal,,10,1
Bold Collection 25,Materiaal,Cover materiaal,single,20,1,Luxury,Luxe materiaal,,20,1
Bold Collection 25,Materiaal,Cover materiaal,single,20,1,Genuine Leather,Echt leer,,30,1
Bold Collection 25,Materiaal,Cover materiaal,single,20,1,Polyester,Polyester afwerking,,40,1
Bold Collection 25,Materiaal,Cover materiaal,single,20,1,Linen,Linnen textuur,,50,1
Bold Collection 25,Materiaal,Cover materiaal,single,20,1,Silk,Zijde afwerking,,60,1
Bold Collection 25,Materiaal,Cover materiaal,single,20,1,Soft Feel,Zachte touch,,70,1
Bold Collection 25,Materiaal,Cover materiaal,single,20,1,Distressed,Vintage look,,80,1
Gallery Book,Formaat,Albumformaat,single,10,1,Standaard formaat,Standaardformaat (zie website voor details),,10,1
Gallery Book,Papier,Papiertype,single,20,1,Pure White 250g + Glossy Lamination,Glanzend gelamineerd,,10,1
Gallery Book,Papier,Papiertype,single,20,1,Pure White 250g + Matte Anti Scratch Lamination,Matte krasbestendige laminaat,,20,1
Gallery Book,Papier,Papiertype,single,20,1,Pure White 250g + Soft Touch Lamination,Soft touch laminaat,,30,1
Gallery Book,Materiaal,Cover materiaal,single,30,1,Standaard,Standaard materiaal,,10,1
Gallery Book,Materiaal,Cover materiaal,single,30,1,Luxury,Luxe materiaal,,20,1
